,airport name,arriving_flight_count,arrival_delayed_15_minutes_more,carrier_delay_count,weather_delay_count,nas_delay_count,security_delay_count,late_aircraft_count,arrival_cancelled_count,arrival_diverted_count,arrival_delay_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,percent_late
0, Aberdeen Regional,1457,124.0,92.0,24.0,7.0,0.0,1.0,30,6,10498,7600,2674,169,0,55,8.51063829787234
1, Abilene Regional,4120,474.0,172.4,41.23,117.00999999999999,0.0,143.32999999999998,130,5,32468,12668,5555,5790,0,8455,11.504854368932039
2, Abraham Lincoln Capital,1897,207.0,76.38,20.56,54.2,0.53,55.33,73,11,15600,7686,2313,2086,10,3505,10.911966262519767
3, Adak,209,74.0,10.26,4.83,29.19,2.88,26.82,20,2,3002,520,282,985,102,1113,35.406698564593306
4, Akron-Canton Regional,4963,896.0,315.6,35.519999999999996,209.77,6.91,328.19,144,2,64295,22020,4168,7613,217,30277,18.053596614950635
5, Albany International,16097,2427.0,1141.88,113.31,459.8,6.78,705.15,768,40,142990,65740,12298,18245,519,46188,15.077343604398335
6, Albert J Ellis,5334,598.0,215.98,53.99,156.94,2.52,168.54,113,13,38399,12157,8729,5083,116,12314,11.211098612673416
7, Albuquerque International Sunport,32387,4923.0,2222.28,242.02,670.41,14.33,1773.98,1339,37,287826,127090,19289,24791,546,116110,15.200543427918609
8, Alexandria International,4716,529.0,198.88,38.89,183.51,0.61,107.03999999999999,146,28,32691,11531,5441,7254,14,8451,11.21713316369805
9, Alpena County Regional,1218,160.0,112.76,37.19,7.07,0.0,2.99,19,4,15134,9541,3936,636,0,1021,13.136288998357964
10, Appleton International,8544,1003.0,372.71,82.96,318.44,4.35,224.54,279,35,59716,24221,9844,10606,119,14926,11.739232209737828
11, Arnold Palmer Regional,1735,255.0,101.42999999999999,11.92,71.86,2.4699999999999998,67.3,54,5,16130,6606,553,4004,79,4888,14.697406340057636
12, Asheville Regional,14519,2454.0,738.7,151.72,668.38,7.94,887.29,858,57,167156,52784,15911,32266,451,65744,16.901990495213166
13, Aspen Pitkin County Sardy Field,10773,2540.0,1301.88,243.17000000000002,400.24,2.0,592.72,824,264,225865,102773,34027,32838,181,56046,23.5774621739534
14, Atlantic City International,5099,806.0,270.93,41.08,264.73,30.35,198.91,158,12,50390,14654,2614,16600,1293,15229,15.807020984506767
15, Augusta Regional at Bush Field,7064,700.0,258.74,45.83,170.37,1.68,223.37,169,10,45855,14332,6671,6618,93,18141,9.909399773499434
16, Austin - Bergstrom International,100253,15699.0,6342.01,439.04,3954.99,57.08,4905.89,3854,288,862645,366612,38819,149569,2227,305418,15.659381764136734
17, Baltimore/Washington International Thurgood Marshall,146975,17670.0,6370.59,505.65000000000003,4150.32,100.83,6542.56,6733,220,938785,336061,38989,176341,4491,382903,12.022452798094914
18, Bangor International,5809,878.0,309.08,49.86,252.89000000000001,1.62,264.6,216,23,56622,21439,4055,10369,39,20720,15.114477534859699
19, Barkley Regional,1403,198.0,137.09,10.36,10.2,0.0,40.36,59,4,14416,10111,1581,431,0,2293,14.112615823235922
20, Barnstable Municipal-Boardman/Polando Field,140,27.0,21.310000000000002,1.0,2.13,0.0,2.56,8,0,3141,2579,31,56,0,475,19.28571428571429
