,year,month,carrier,carrier_name,airport name,code,city,state_code,arriving_flight_count,arrival_delayed_15_minutes_more,carrier_delay_count,weather_delay_count,nas_delay_count,security_delay_count,late_aircraft_count,arrival_cancelled_count,arrival_diverted_count,arrival_delay_minutes,carrier_delay_minutes,weather_delay_minutes,nas_delay_minutes,security_delay_minutes,late_aircraft_delay_minutes,state
5,2021,12,9E,Endeavor Air Inc., Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,3705,388.0,96.28,29.68,101.87,0.0,160.18,12,4,30500,10300,2853,4638,0,12709,Georgia
36,2021,12,9E,Endeavor Air Inc., Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,3,1.0,0.12,0.0,0.44,0.0,0.44,0,0,41,5,0,18,0,18,Texas
64,2021,12,9E,Endeavor Air Inc., John F. Kennedy International,JFK,New York, NY,1162,93.0,43.3,2.24,27.88,0.0,19.58,3,0,6641,3624,240,853,0,1924,New York
84,2021,12,9E,Endeavor Air Inc., Chicago O'Hare International,ORD,Chicago, IL,37,2.0,2.0,0.0,0.0,0.0,0.0,1,0,79,79,0,0,0,0,Illinois
114,2021,12,AA,American Airlines Inc., Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,718,130.0,60.9,0.0,19.44,1.87,47.79,1,0,10649,4739,0,556,42,5312,Georgia
133,2021,12,AA,American Airlines Inc., Denver International,DEN,Denver, CO,816,159.0,56.29,1.78,57.11,1.0,42.82,2,0,8131,2527,172,2370,18,3044,Colorado
134,2021,12,AA,American Airlines Inc., Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,11780,1720.0,619.02,38.5,342.27,11.32,708.89,60,4,147757,67004,2849,10980,388,66536,Texas
158,2021,12,AA,American Airlines Inc., John F. Kennedy International,JFK,New York, NY,1367,228.0,92.74,3.42,61.99,1.48,68.37,19,1,18546,6362,162,1794,30,10198,New York
160,2021,12,AA,American Airlines Inc., McCarran International,LAS,Las Vegas, NV,1170,228.0,79.25,3.02,79.78,2.08,63.87,3,1,12093,4897,138,2652,168,4238,Nevada
161,2021,12,AA,American Airlines Inc., Los Angeles International,LAX,Los Angeles, CA,2770,587.0,220.35,6.97,221.28,5.45,132.95,16,8,38160,17691,589,7911,390,11579,California
166,2021,12,AA,American Airlines Inc., Orlando International,MCO,Orlando, FL,1517,271.0,112.27,2.04,62.57,1.46,92.66,4,1,12870,5068,150,2016,107,5529,Florida
182,2021,12,AA,American Airlines Inc., Chicago O'Hare International,ORD,Chicago, IL,4112,565.0,186.45,11.78,139.84,4.85,222.08,36,5,44656,17064,849,5185,139,21419,Illinois
203,2021,12,AA,American Airlines Inc., Seattle/Tacoma International,SEA,Seattle, WA,492,104.0,43.31,0.87,32.47,0.71,26.64,0,4,5733,2234,38,1656,20,1785,Washington
204,2021,12,AA,American Airlines Inc., San Francisco International,SFO,San Francisco, CA,730,170.0,56.55,0.93,89.93,0.19,22.39,2,5,8295,3415,42,2867,21,1950,California
224,2021,12,AS,Alaska Airlines Inc., Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,92,29.0,11.08,2.59,9.42,0.0,5.91,5,0,1837,643,196,557,0,441,Georgia
239,2021,12,AS,Alaska Airlines Inc., Denver International,DEN,Denver, CO,129,31.0,11.18,2.25,10.96,0.0,6.61,12,1,2215,919,351,695,0,250,Colorado
240,2021,12,AS,Alaska Airlines Inc., Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,93,32.0,16.77,2.9,8.55,0.0,3.77,7,0,1974,913,438,443,0,180,Texas
250,2021,12,AS,Alaska Airlines Inc., John F. Kennedy International,JFK,New York, NY,333,76.0,39.38,5.57,15.9,0.0,15.15,12,0,5484,2846,861,795,0,982,New York
254,2021,12,AS,Alaska Airlines Inc., McCarran International,LAS,Las Vegas, NV,380,111.0,42.39,4.94,36.05,0.0,27.62,23,0,5757,1977,637,1598,0,1545,Nevada
255,2021,12,AS,Alaska Airlines Inc., Los Angeles International,LAX,Los Angeles, CA,884,284.0,89.63,7.19,103.9,4.0,79.27,33,4,18757,6436,723,4573,214,6811,California
258,2021,12,AS,Alaska Airlines Inc., Orlando International,MCO,Orlando, FL,171,53.0,18.38,6.38,24.07,0.0,4.17,6,0,2955,1161,541,977,0,276,Florida
268,2021,12,AS,Alaska Airlines Inc., Chicago O'Hare International,ORD,Chicago, IL,189,43.0,22.37,2.78,8.39,0.0,9.47,9,0,2543,1239,385,391,0,528,Illinois
282,2021,12,AS,Alaska Airlines Inc., Seattle/Tacoma International,SEA,Seattle, WA,5098,1425.0,341.2,32.41,599.39,8.38,443.62,383,26,83952,22840,4135,26829,262,29886,Washington
283,2021,12,AS,Alaska Airlines Inc., San Francisco International,SFO,San Francisco, CA,988,260.0,65.37,6.38,112.45,5.22,70.59,55,5,15472,4671,452,4125,325,5899,California
296,2021,12,B6,JetBlue Airways, Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,216,78.0,51.26,0.0,10.47,0.0,16.28,8,0,5350,3777,0,380,0,1193,Georgia
310,2021,12,B6,JetBlue Airways, Denver International,DEN,Denver, CO,124,49.0,22.49,0.0,21.36,0.0,5.16,6,0,3565,1789,0,1071,0,705,Colorado
311,2021,12,B6,JetBlue Airways, Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,70,20.0,12.39,0.0,4.18,0.0,3.44,3,0,1279,820,0,97,0,362,Texas
320,2021,12,B6,JetBlue Airways, John F. Kennedy International,JFK,New York, NY,3482,1205.0,429.52,9.11,356.11,9.38,400.87,133,7,82455,33868,790,13316,310,34171,New York
321,2021,12,B6,JetBlue Airways, McCarran International,LAS,Las Vegas, NV,222,76.0,35.69,0.25,27.37,0.64,12.05,4,7,4714,2872,11,1161,30,640,Nevada
322,2021,12,B6,JetBlue Airways, Los Angeles International,LAX,Los Angeles, CA,851,298.0,115.28,0.31,132.42,1.0,49.0,36,11,20468,9802,60,5721,40,4845,California
324,2021,12,B6,JetBlue Airways, Orlando International,MCO,Orlando, FL,1279,444.0,219.12,0.03,73.84,2.24,148.77,54,1,30795,14871,5,2984,122,12813,Florida
329,2021,12,B6,JetBlue Airways, Chicago O'Hare International,ORD,Chicago, IL,105,28.0,19.76,0.89,4.7,0.0,2.65,4,0,1964,1452,115,177,0,220,Illinois
347,2021,12,B6,JetBlue Airways, Seattle/Tacoma International,SEA,Seattle, WA,75,36.0,9.02,0.39,23.36,0.04,3.2,4,0,1976,588,69,959,3,357,Washington
348,2021,12,B6,JetBlue Airways, San Francisco International,SFO,San Francisco, CA,417,123.0,50.87,1.04,56.02,2.41,12.66,13,7,6663,3347,88,2106,133,989,California
360,2021,12,DL,Delta Air Lines Inc., Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,16475,2205.0,834.1,71.88,442.18,2.82,854.01,291,12,163565,82981,8857,16367,91,55269,Georgia
385,2021,12,DL,Delta Air Lines Inc., Denver International,DEN,Denver, CO,881,247.0,83.58,16.49,102.06,0.0,44.88,30,2,17691,5865,3110,4758,0,3958,Colorado
386,2021,12,DL,Delta Air Lines Inc., Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,809,135.0,64.69,5.0,29.58,1.0,34.73,15,0,7932,3851,804,1129,33,2115,Texas
420,2021,12,DL,Delta Air Lines Inc., John F. Kennedy International,JFK,New York, NY,1877,288.0,120.79,19.5,49.09,2.59,96.03,45,1,26449,15017,1748,1577,104,8003,New York
422,2021,12,DL,Delta Air Lines Inc., McCarran International,LAS,Las Vegas, NV,1007,260.0,104.45,11.35,108.92,0.0,35.28,34,4,15209,6645,1585,4794,0,2185,Nevada
423,2021,12,DL,Delta Air Lines Inc., Los Angeles International,LAX,Los Angeles, CA,2345,697.0,199.03,24.6,364.09,3.0,106.29,59,4,56310,22699,4033,17482,130,11966,California
429,2021,12,DL,Delta Air Lines Inc., Orlando International,MCO,Orlando, FL,1561,309.0,162.21,11.54,79.38,2.55,53.32,31,2,20332,12510,1563,3057,170,3032,Florida
448,2021,12,DL,Delta Air Lines Inc., Chicago O'Hare International,ORD,Chicago, IL,901,207.0,91.76,9.37,66.74,0.56,38.58,17,3,11989,5713,1020,2559,49,2648,Illinois
469,2021,12,DL,Delta Air Lines Inc., Seattle/Tacoma International,SEA,Seattle, WA,2389,503.0,194.09,10.33,172.91,0.0,125.66,188,8,46947,21017,1502,9240,0,15188,Washington
470,2021,12,DL,Delta Air Lines Inc., San Francisco International,SFO,San Francisco, CA,772,228.0,93.58,14.84,92.24,0.77,26.57,16,1,12776,6046,1124,3430,60,2116,California
490,2021,12,F9,Frontier Airlines Inc., Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,591,157.0,56.43,0.26,34.48,0.0,65.83,18,0,11857,5494,20,1560,0,4783,Georgia
507,2021,12,F9,Frontier Airlines Inc., Denver International,DEN,Denver, CO,1509,360.0,105.97,5.52,109.2,0.0,139.31,18,0,23888,6625,531,5594,0,11138,Colorado
508,2021,12,F9,Frontier Airlines Inc., Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,320,69.0,18.1,1.1,23.38,0.0,26.43,5,0,3926,1149,117,1063,0,1597,Texas
530,2021,12,F9,Frontier Airlines Inc., McCarran International,LAS,Las Vegas, NV,1368,464.0,103.3,2.12,198.82,0.0,159.77,18,0,34367,8280,106,9847,0,16134,Nevada
534,2021,12,F9,Frontier Airlines Inc., Orlando International,MCO,Orlando, FL,1653,565.0,158.32,2.91,173.38,0.0,230.38,38,2,40827,13209,312,8605,0,18701,Florida
546,2021,12,F9,Frontier Airlines Inc., Chicago O'Hare International,ORD,Chicago, IL,186,65.0,31.57,0.0,13.6,0.0,19.83,3,0,4206,1882,0,701,0,1623,Illinois
563,2021,12,F9,Frontier Airlines Inc., Seattle/Tacoma International,SEA,Seattle, WA,40,9.0,3.33,0.0,4.67,0.0,1.0,0,0,805,150,0,617,0,38,Washington
564,2021,12,F9,Frontier Airlines Inc., San Francisco International,SFO,San Francisco, CA,165,37.0,10.42,0.0,15.08,0.0,11.5,3,0,2044,503,0,642,0,899,California
606,2021,12,G4,Allegiant Air, Denver International,DEN,Denver, CO,18,8.0,0.0,0.0,6.59,0.0,1.41,0,0,410,0,0,258,0,152,Colorado
637,2021,12,G4,Allegiant Air, McCarran International,LAS,Las Vegas, NV,855,371.0,63.56,7.3,137.59,0.08,162.47,44,1,24770,6218,649,7027,6,10870,Nevada
638,2021,12,G4,Allegiant Air, Los Angeles International,LAX,Los Angeles, CA,115,49.0,13.27,1.86,24.17,0.0,9.71,16,1,2163,616,59,1007,0,481,California
710,2021,12,HA,Hawaiian Airlines Inc., John F. Kennedy International,JFK,New York, NY,31,5.0,3.0,0.0,0.0,0.0,2.0,0,1,247,210,0,0,0,37,New York
712,2021,12,HA,Hawaiian Airlines Inc., McCarran International,LAS,Las Vegas, NV,112,35.0,29.88,0.22,0.0,0.0,4.9,0,0,1367,1216,4,0,0,147,Nevada
713,2021,12,HA,Hawaiian Airlines Inc., Los Angeles International,LAX,Los Angeles, CA,202,41.0,29.34,0.52,0.42,0.05,10.66,6,0,1630,1061,23,14,1,531,California
716,2021,12,HA,Hawaiian Airlines Inc., Orlando International,MCO,Orlando, FL,12,7.0,6.77,0.0,0.0,0.0,0.23,0,0,266,256,0,0,0,10,Florida
724,2021,12,HA,Hawaiian Airlines Inc., Seattle/Tacoma International,SEA,Seattle, WA,78,35.0,30.3,0.85,0.0,0.0,3.85,0,0,2052,1451,28,0,0,573,Washington
725,2021,12,HA,Hawaiian Airlines Inc., San Francisco International,SFO,San Francisco, CA,68,7.0,6.44,0.0,0.0,0.0,0.56,1,0,416,396,0,0,0,20,California
735,2021,12,MQ,Envoy Air, Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,64,7.0,2.43,0.33,2.26,0.0,1.98,0,0,326,110,7,79,0,130,Georgia
769,2021,12,MQ,Envoy Air, Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,5469,841.0,200.47,44.78,222.51,3.93,369.3,32,5,49774,14443,4278,7014,131,23908,Texas
832,2021,12,MQ,Envoy Air, Chicago O'Hare International,ORD,Chicago, IL,3241,441.0,130.21,30.39,156.12,1.4,122.88,51,3,32158,10851,3718,7038,33,10518,Illinois
872,2021,12,NK,Spirit Air Lines, Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,745,184.0,55.79,3.01,56.15,3.79,65.26,23,0,11199,3970,170,2328,101,4630,Georgia
885,2021,12,NK,Spirit Air Lines, Denver International,DEN,Denver, CO,233,69.0,25.52,2.85,25.85,0.72,14.07,8,1,3996,1483,263,1167,16,1067,Colorado
886,2021,12,NK,Spirit Air Lines, Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,571,137.0,50.02,2.28,45.16,1.88,37.66,18,0,7567,3006,64,2046,39,2412,Texas
892,2021,12,NK,Spirit Air Lines, McCarran International,LAS,Las Vegas, NV,1480,447.0,110.01,12.67,205.56,5.5,113.26,76,1,26766,6659,1215,10998,298,7596,Nevada
893,2021,12,NK,Spirit Air Lines, Los Angeles International,LAX,Los Angeles, CA,817,309.0,85.27,1.94,180.21,1.27,40.32,56,3,19740,6687,144,9753,51,3105,California
897,2021,12,NK,Spirit Air Lines, Orlando International,MCO,Orlando, FL,1958,542.0,150.07,6.89,239.96,10.98,134.1,92,2,33897,10778,294,11793,488,10544,Florida
905,2021,12,NK,Spirit Air Lines, Chicago O'Hare International,ORD,Chicago, IL,522,131.0,45.7,2.53,45.98,0.78,36.01,18,0,7208,2735,91,2068,28,2286,Illinois
917,2021,12,NK,Spirit Air Lines, Seattle/Tacoma International,SEA,Seattle, WA,54,13.0,2.59,0.0,4.8,0.0,5.61,1,0,901,241,0,363,0,297,Washington
929,2021,12,OH,PSA Airlines Inc., Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,98,13.0,4.19,0.0,3.91,0.0,4.9,1,0,576,236,0,117,0,223,Georgia
955,2021,12,OH,PSA Airlines Inc., Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,84,18.0,7.02,0.0,4.59,0.0,6.38,1,0,537,247,0,93,0,197,Texas
1030,2021,12,OO,SkyWest Airlines Inc., Hartsfield-Jackson Atlanta International,ATL,Atlanta, GA,120,27.0,22.0,3.0,1.0,0.0,1.0,4,1,1567,1205,156,57,0,149,Georgia
1082,2021,12,OO,SkyWest Airlines Inc., Denver International,DEN,Denver, CO,5581,1115.0,822.0,51.0,56.0,1.0,185.0,284,10,108723,76329,6722,6979,28,18665,Colorado
1083,2021,12,OO,SkyWest Airlines Inc., Dallas/Fort Worth International,DFW,Dallas/Fort Worth, TX,1904,436.0,179.0,31.0,3.0,0.0,223.0,71,3,39985,13497,4961,176,0,21351,Texas
1143,2021,12,OO,SkyWest Airlines Inc., McCarran International,LAS,Las Vegas, NV,212,70.0,36.0,20.0,2.0,0.0,12.0,8,0,4315,2175,1314,238,0,588,Nevada
1144,2021,12,OO,SkyWest Airlines Inc., Los Angeles International,LAX,Los Angeles, CA,3870,1122.0,706.0,162.0,20.0,2.0,232.0,184,5,100702,57335,19713,3767,52,19835,California
1185,2021,12,OO,SkyWest Airlines Inc., Chicago O'Hare International,ORD,Chicago, IL,5855,999.0,631.0,30.0,26.0,0.0,312.0,238,9,100895,57002,5372,4907,0,33614,Illinois
1225,2021,12,OO,SkyWest Airlines Inc., Seattle/Tacoma International,SEA,Seattle, WA,1532,283.0,169.0,71.0,7.0,0.0,36.0,168,4,26576,13677,9551,384,0,2964,Washington
1226,2021,12,OO,SkyWest Airlines Inc., San Francisco International,SFO,San Francisco, CA,2891,762.0,478.0,59.0,44.0,1.0,180.0,125,3,60428,37157,5491,3070,15,14695,California
1278,2021,12,QX,Horizon Air, McCarran International,LAS,Las Vegas, NV,86,16.0,9.2,0.0,4.0,0.0,2.8,4,0,791,515,0,115,0,161,Nevada
1279,2021,12,QX,Horizon Air, Los Angeles International,LAX,Los Angeles, CA,210,92.0,15.68,2.18,49.56,0.0,24.57,5,0,4608,784,175,1789,0,1860,California
1285,2021,12,QX,Horizon Air, Chicago O'Hare International,ORD,Chicago, IL,23,5.0,1.68,0.89,2.44,0.0,0.0,1,0,471,195,133,143,0,0,Illinois
1298,2021,12,QX,Horizon Air, Seattle/Tacoma International,SEA,Seattle, WA,2283,576.0,127.49,58.31,216.62,0.16,173.41,157,3,41762,11053,5448,10437,4,14820,Washington
